"Label","Benton County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Percent!!Estimate","Benton County, Arkansas!!Percent!!Margin of Error","Craighead County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Percent!!Estimate","Craighead County, Arkansas!!Percent!!Margin of Error","Faulkner County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Percent!!Estimate","Faulkner County, Arkansas!!Percent!!Margin of Error","Garland County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Percent!!Estimate","Garland County, Arkansas!!Percent!!Margin of Error","Jefferson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Percent!!Estimate","Jefferson County, Arkansas!!Percent!!Margin of Error","Lonoke County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Percent!!Estimate","Lonoke County, Arkansas!!Percent!!Margin of Error","Pulaski County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Percent!!Estimate","Pulaski County, Arkansas!!Percent!!Margin of Error","Saline County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Percent!!Estimate","Saline County, Arkansas!!Percent!!Margin of Error","Sebastian County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Percent!!Estimate","Sebastian County, Arkansas!!Percent!!Margin of Error","Washington County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Percent!!Estimate","Washington County, Arkansas!!Percent!!Margin of Error","White County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Percent!!Estimate","White County, Arkansas!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"Total households","100,749","±1,952","(X)","(X)","41,409","±1,584","(X)","(X)","47,389","±1,263","(X)","(X)","41,743","±1,957","(X)","(X)","27,593","±1,255","(X)","(X)","26,052","±1,344","(X)","(X)","158,000","±3,302","(X)","(X)","45,455","±1,550","(X)","(X)","51,384","±1,786","(X)","(X)","89,249","±2,141","(X)","(X)","28,621","±1,565","(X)","(X)","122,802,852","±137,327","(X)","(X)"
"    TYPES OF COMPUTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Has one or more types of computing devices:","95,879","±2,170","95.2%","±1.2","38,696","±1,583","93.4%","±2.1","45,334","±1,325","95.7%","±1.3","38,215","±2,095","91.5%","±2.3","23,154","±1,708","83.9%","±4.2","24,116","±1,402","92.6%","±2.5","144,185","±3,844","91.3%","±1.2","41,551","±1,787","91.4%","±2.1","45,490","±2,339","88.5%","±2.8","84,628","±2,574","94.8%","±1.6","25,108","±1,812","87.7%","±3.0","114,062,649","±164,539","92.9%","±0.1"
"            Desktop or laptop","81,213","±2,526","80.6%","±2.1","29,276","±2,240","70.7%","±4.7","37,999","±2,102","80.2%","±3.6","29,508","±2,064","70.7%","±4.3","14,753","±1,495","53.5%","±5.1","18,472","±1,581","70.9%","±4.2","111,252","±4,634","70.4%","±2.2","30,643","±2,329","67.4%","±4.2","35,406","±2,524","68.9%","±3.9","68,294","±2,944","76.5%","±2.8","15,584","±1,818","54.4%","±5.5","94,952,292","±245,645","77.3%","±0.1"
"                Desktop or laptop with no other type of computing device","2,108","±727","2.1%","±0.7","1,200","±518","2.9%","±1.3","1,142","±510","2.4%","±1.1","2,382","±829","5.7%","±2.0","784","±425","2.8%","±1.5","597","±284","2.3%","±1.1","4,886","±1,082","3.1%","±0.7","1,145","±609","2.5%","±1.3","2,258","±775","4.4%","±1.5","3,161","±966","3.5%","±1.1","960","±438","3.4%","±1.5","4,522,486","±32,630","3.7%","±0.1"
"            Smartphone","91,864","±2,362","91.2%","±1.4","36,974","±1,728","89.3%","±2.5","43,183","±1,546","91.1%","±2.0","34,685","±2,196","83.1%","±2.9","21,582","±1,646","78.2%","±4.2","23,032","±1,362","88.4%","±2.6","134,237","±3,849","85.0%","±1.4","39,455","±1,720","86.8%","±2.4","42,092","±2,456","81.9%","±3.1","80,309","±2,682","90.0%","±2.0","23,414","±1,753","81.8%","±3.6","106,336,466","±147,044","86.6%","±0.1"
"                Smartphone with no other type of computing device","11,320","±1,753","11.2%","±1.7","6,067","±1,774","14.7%","±4.3","4,581","±1,336","9.7%","±2.8","5,549","±1,507","13.3%","±3.4","6,169","±1,343","22.4%","±4.6","3,823","±1,030","14.7%","±3.9","22,763","±3,126","14.4%","±2.0","6,706","±1,351","14.8%","±3.0","6,722","±1,523","13.1%","±2.9","11,589","±2,138","13.0%","±2.4","7,790","±1,750","27.2%","±5.8","12,072,269","±96,094","9.8%","±0.1"
"            Tablet or other portable wireless computer","68,659","±2,650","68.1%","±2.2","25,758","±2,340","62.2%","±5.0","32,133","±1,891","67.8%","±3.6","23,009","±2,131","55.1%","±4.7","12,599","±1,709","45.7%","±5.6","16,054","±1,517","61.6%","±4.7","88,738","±4,464","56.2%","±2.5","27,249","±1,993","59.9%","±3.7","27,431","±2,390","53.4%","±4.2","52,846","±2,647","59.2%","±2.8","11,684","±1,665","40.8%","±5.4","75,463,940","±256,701","61.5%","±0.2"
"                Tablet or other portable wireless computer with no other type of computing device","409","±245","0.4%","±0.2","66","±83","0.2%","±0.2","556","±478","1.2%","±1.0","241","±221","0.6%","±0.5","231","±201","0.8%","±0.7","314","±273","1.2%","±1.0","2,276","±847","1.4%","±0.5","129","±157","0.3%","±0.3","564","±345","1.1%","±0.7","463","±278","0.5%","±0.3","65","±113","0.2%","±0.4","1,074,866","±16,291","0.9%","±0.1"
"            Other computer","910","±417","0.9%","±0.4","307","±236","0.7%","±0.6","969","±598","2.0%","±1.2","537","±331","1.3%","±0.8","720","±564","2.6%","±2.0","250","±187","1.0%","±0.7","2,900","±777","1.8%","±0.5","695","±375","1.5%","±0.8","1,284","±579","2.5%","±1.1","1,406","±538","1.6%","±0.6","52","±73","0.2%","±0.3","2,937,915","±27,533","2.4%","±0.1"
"                Other computer with no other type of computing device","39","±66","0.0%","±0.1","0","±206","0.0%","±0.4","0","±206","0.0%","±0.4","0","±206","0.0%","±0.4","0","±206","0.0%","±0.6","0","±206","0.0%","±0.7","34","±60","0.0%","±0.1","0","±206","0.0%","±0.4","0","±206","0.0%","±0.3","0","±206","0.0%","±0.2","0","±206","0.0%","±0.6","25,911","±2,308","0.0%","±0.1"
"        No computer","4,870","±1,187","4.8%","±1.2","2,713","±907","6.6%","±2.1","2,055","±628","4.3%","±1.3","3,528","±982","8.5%","±2.3","4,439","±1,139","16.1%","±4.2","1,936","±664","7.4%","±2.5","13,815","±1,822","8.7%","±1.2","3,904","±971","8.6%","±2.1","5,894","±1,429","11.5%","±2.8","4,621","±1,432","5.2%","±1.6","3,513","±812","12.3%","±3.0","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","89,530","±2,264","88.9%","±1.7","36,586","±1,667","88.4%","±2.7","44,222","±1,496","93.3%","±1.8","33,812","±2,212","81.0%","±3.5","19,083","±1,807","69.2%","±5.5","22,489","±1,537","86.3%","±3.5","132,112","±4,085","83.6%","±1.8","39,199","±1,976","86.2%","±3.0","40,313","±2,340","78.5%","±3.4","75,386","±2,671","84.5%","±2.6","22,361","±1,877","78.1%","±3.9","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","172","±175","0.2%","±0.2","132","±159","0.3%","±0.4","49","±77","0.1%","±0.2","0","±206","0.0%","±0.4","0","±206","0.0%","±0.6","36","±63","0.1%","±0.2","371","±308","0.2%","±0.2","0","±206","0.0%","±0.4","94","±155","0.2%","±0.3","170","±211","0.2%","±0.2","55","±84","0.2%","±0.3","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","89,358","±2,267","88.7%","±1.7","36,454","±1,639","88.0%","±2.6","44,173","±1,518","93.2%","±1.9","33,812","±2,212","81.0%","±3.5","19,083","±1,807","69.2%","±5.5","22,453","±1,523","86.2%","±3.5","131,741","±4,041","83.4%","±1.8","39,199","±1,976","86.2%","±3.0","40,219","±2,368","78.3%","±3.4","75,216","±2,692","84.3%","±2.7","22,306","±1,866","77.9%","±3.8","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","83,534","±2,424","82.9%","±2.0","33,361","±1,935","80.6%","±3.8","41,917","±1,504","88.5%","±1.9","28,750","±2,264","68.9%","±4.2","17,376","±1,777","63.0%","±5.3","21,801","±1,475","83.7%","±3.6","116,364","±4,221","73.6%","±2.0","35,343","±1,985","77.8%","±3.5","36,386","±2,582","70.8%","±3.9","70,309","±2,696","78.8%","±2.7","20,050","±1,736","70.1%","±4.1","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","10,046","±1,555","10.0%","±1.6","8,345","±1,857","20.2%","±4.4","6,154","±1,231","13.0%","±2.6","6,137","±1,241","14.7%","±2.9","6,659","±1,380","24.1%","±4.6","5,394","±1,186","20.7%","±4.5","27,734","±3,112","17.6%","±2.0","10,843","±1,571","23.9%","±3.4","6,640","±1,517","12.9%","±2.9","10,185","±2,131","11.4%","±2.4","9,127","±1,449","31.9%","±4.7","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","75,834","±2,687","75.3%","±2.1","26,600","±2,176","64.2%","±4.9","35,997","±2,118","76.0%","±3.6","25,447","±2,298","61.0%","±4.7","10,686","±1,357","38.7%","±4.7","15,908","±1,520","61.1%","±4.7","97,257","±4,242","61.6%","±2.3","25,140","±2,191","55.3%","±4.3","31,657","±2,342","61.6%","±3.8","59,368","±2,787","66.5%","±3.0","12,006","±1,780","41.9%","±5.2","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","5,172","±959","5.1%","±1.0","2,182","±735","5.3%","±1.8","3,788","±1,245","8.0%","±2.6","3,365","±864","8.1%","±2.0","2,470","±575","9.0%","±2.1","2,095","±585","8.0%","±2.2","10,615","±1,750","6.7%","±1.1","5,387","±1,093","11.9%","±2.4","3,738","±1,102","7.3%","±2.1","6,395","±1,570","7.2%","±1.7","1,516","±643","5.3%","±2.3","8,021,594","±64,513","6.5%","±0.1"
"        Without an Internet subscription","11,219","±1,729","11.1%","±1.7","4,823","±1,146","11.6%","±2.7","3,167","±867","6.7%","±1.8","7,931","±1,499","19.0%","±3.5","8,510","±1,522","30.8%","±5.5","3,563","±920","13.7%","±3.5","25,888","±2,812","16.4%","±1.8","6,256","±1,362","13.8%","±3.0","11,071","±1,737","21.5%","±3.4","13,863","±2,429","15.5%","±2.6","6,260","±1,070","21.9%","±3.9","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","11,051","±1,800","(X)","(X)","8,132","±1,696","(X)","(X)","8,056","±1,815","(X)","(X)","9,575","±1,766","(X)","(X)","7,913","±1,642","(X)","(X)","3,966","±1,088","(X)","(X)","27,285","±3,200","(X)","(X)","5,529","±1,196","(X)","(X)","9,199","±1,722","(X)","(X)","15,583","±2,234","(X)","(X)","5,747","±1,225","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","0","±206","0.0%","±1.6","48","±81","0.6%","±1.0","0","±206","0.0%","±2.1","0","±206","0.0%","±1.8","0","±206","0.0%","±2.2","36","±63","0.9%","±1.7","42","±70","0.2%","±0.3","0","±206","0.0%","±3.1","0","±206","0.0%","±1.9","0","±206","0.0%","±1.1","0","±206","0.0%","±3.0","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","6,504","±1,249","58.9%","±8.5","6,131","±1,532","75.4%","±8.8","6,792","±1,663","84.3%","±6.7","5,926","±1,457","61.9%","±10.8","3,435","±944","43.4%","±11.5","2,820","±879","71.1%","±11.4","17,602","±2,835","64.5%","±5.8","3,655","±957","66.1%","±11.4","5,058","±1,130","55.0%","±8.8","9,982","±1,567","64.1%","±7.6","3,408","±1,024","59.3%","±9.5","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","4,547","±1,319","41.1%","±8.5","1,953","±779","24.0%","±8.7","1,264","±582","15.7%","±6.7","3,649","±1,258","38.1%","±10.8","4,478","±1,500","56.6%","±11.5","1,110","±559","28.0%","±11.5","9,641","±1,733","35.3%","±5.8","1,874","±787","33.9%","±11.4","4,141","±1,216","45.0%","±8.8","5,601","±1,618","35.9%","±7.6","2,339","±619","40.7%","±9.5","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","42,517","±2,647","(X)","(X)","20,054","±2,452","(X)","(X)","22,456","±2,174","(X)","(X)","21,406","±2,309","(X)","(X)","13,129","±1,714","(X)","(X)","11,124","±1,449","(X)","(X)","78,799","±4,335","(X)","(X)","20,558","±2,244","(X)","(X)","26,901","±2,483","(X)","(X)","43,629","±3,090","(X)","(X)","15,213","±1,461","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","140","±163","0.3%","±0.4","84","±140","0.4%","±0.7","49","±77","0.2%","±0.3","0","±206","0.0%","±0.8","0","±206","0.0%","±1.3","0","±206","0.0%","±1.6","329","±299","0.4%","±0.4","0","±206","0.0%","±0.8","0","±206","0.0%","±0.6","47","±54","0.1%","±0.1","44","±80","0.3%","±0.5","154,033","±5,386","0.3%","±0.1"
"            With a broadband Internet subscription","37,079","±2,419","87.2%","±2.7","17,437","±2,294","87.0%","±4.6","20,949","±2,206","93.3%","±2.7","17,870","±2,068","83.5%","±3.8","9,941","±1,651","75.7%","±6.3","9,096","±1,393","81.8%","±6.1","64,440","±4,206","81.8%","±2.7","18,057","±2,210","87.8%","±4.2","21,830","±2,242","81.1%","±4.5","36,940","±3,059","84.7%","±3.9","12,305","±1,448","80.9%","±4.8","43,392,447","±118,754","84.1%","±0.1"
"            Without an Internet subscription","5,298","±1,218","12.5%","±2.6","2,533","±990","12.6%","±4.7","1,458","±570","6.5%","±2.6","3,536","±906","16.5%","±3.8","3,188","±864","24.3%","±6.3","2,028","±714","18.2%","±6.1","14,030","±2,193","17.8%","±2.7","2,501","±890","12.2%","±4.2","5,071","±1,339","18.9%","±4.5","6,642","±1,775","15.2%","±3.9","2,864","±757","18.8%","±4.8","8,077,796","±66,242","15.6%","±0.1"
"        $75,000 or more:","47,181","±2,497","(X)","(X)","13,223","±1,837","(X)","(X)","16,877","±1,846","(X)","(X)","10,762","±1,553","(X)","(X)","6,551","±1,091","(X)","(X)","10,962","±1,314","(X)","(X)","51,916","±3,020","(X)","(X)","19,368","±2,018","(X)","(X)","15,284","±2,109","(X)","(X)","30,037","±2,620","(X)","(X)","7,661","±1,333","(X)","(X)","54,280,407","±138,481","(X)","(X)"
"            With dial-up Internet subscription alone","32","±53","0.1%","±0.1","0","±206","0.0%","±1.3","0","±206","0.0%","±1.0","0","±206","0.0%","±1.6","0","±206","0.0%","±2.6","0","±206","0.0%","±1.6","0","±206","0.0%","±0.3","0","±206","0.0%","±0.9","94","±155","0.6%","±1.0","123","±203","0.4%","±0.7","11","±20","0.1%","±0.3","61,241","±3,741","0.1%","±0.1"
"            With a broadband Internet subscription","45,775","±2,484","97.0%","±1.4","12,886","±1,835","97.5%","±2.0","16,432","±1,867","97.4%","±1.7","10,016","±1,463","93.1%","±4.8","5,707","±1,087","87.1%","±6.5","10,537","±1,259","96.1%","±2.9","49,699","±2,991","95.7%","±1.6","17,487","±1,716","90.3%","±4.5","13,331","±1,967","87.2%","±6.5","28,294","±2,417","94.2%","±2.4","6,593","±1,225","86.1%","±8.7","51,866,285","±151,271","95.6%","±0.1"
"            Without an Internet subscription","1,374","±665","2.9%","±1.4","337","±272","2.5%","±2.0","445","±291","2.6%","±1.7","746","±543","6.9%","±4.8","844","±424","12.9%","±6.5","425","±332","3.9%","±2.9","2,217","±854","4.3%","±1.6","1,881","±949","9.7%","±4.5","1,859","±1,028","12.2%","±6.3","1,620","±739","5.4%","±2.3","1,057","±726","13.8%","±8.7","2,352,881","±31,854","4.3%","±0.1"